Name,ARWU Rank
Princeton University,6
Harvard University,1
Columbia University,8
Massachusetts Institute of Technology,4
University of Chicago,10
Yale University,12
Stanford University,2
Duke University,26
University of Pennsylvania,16
Johns Hopkins University,18
Northwestern University,25
California Institute of Technology,9
Dartmouth College,201-300
Brown University,101-150
Vanderbilt University,50
Cornell University,12
Rice University,70
University of Notre Dame,201-300
University of California--Los Angeles,11
Washington University in St. Louis,20
Emory University,101-150
Georgetown University,201-300
University of California--Berkeley,5
University of Southern California,60
Carnegie Mellon University,91
University of Virginia,151-200
Tufts University,151-200
University of Michigan--Ann Arbor,DNE
Wake Forest University,501-600
New York University,32
University of California--Santa Barbara,46
University of North Carolina--Chapel Hill,30
University of California--Irvine,83
University of Rochester,151-200
Brandeis University,201-300
Georgia Institute of Technology,79
University of Florida,86
Boston College,301-400
College of William and Mary,DNE
University of California--Davis,96
University of California--San Diego,15
Boston University,70
Case Western Reserve University,101-150
Northeastern University,201-300
Tulane University,601-700
Pepperdine University,DNE
University of Georgia,DNE
University of Illinois--Urbana-Champaign,41
Rensselaer Polytechnic Institute,501-600
University of Texas--Austin,DNE
University of Wisconsin--Madison,28
Villanova University,DNE
Lehigh University,701-800
Syracuse University,601-700
University of Miami,201-300
Ohio State University--Columbus,DNE
Purdue University--West Lafayette,70
Rutgers University--New Brunswick,DNE
Pennsylvania State University--University Park,74
Southern Methodist University,701-800
University of Washington,14
Worcester Polytechnic Institute,801-900
George Washington University,DNE
University of Connecticut,301-400
University of Maryland--College Park,51
Brigham Young University--Provo,401-500
Clark University,DNE
Clemson University,601-700
Texas A&M University--College Station,DNE
Florida State University,201-300
Fordham University,DNE
Stevens Institute of Technology,601-700
University of California--Santa Cruz,101-150
University of Massachusetts--Amherst,DNE
University of Pittsburgh,DNE
University of Minnesota--Twin Cities,37
Virginia Tech,DNE
American University,DNE
Baylor University,501-600
Binghamton University--SUNY,901-1000
Colorado School of Mines,501-600
North Carolina State University--Raleigh,151-200
Stony Brook University--SUNY,301-400
Texas Christian University,DNE
Yeshiva University,301-400
Michigan State University,101-150
University of California--Riverside,151-200
University of San Diego,801-900
Howard University,DNE
Indiana University--Bloomington,DNE
Loyola University Chicago,601-700
Marquette University,DNE
University at Buffalo--SUNY,DNE
University of Delaware,201-300
University of Iowa,151-200
Illinois Institute of Technology,901-1000
Miami University--Oxford,DNE
University of Colorado--Boulder,38
University of Denver,801-900
University of San Francisco,701-800
University of Vermont,301-400
Clarkson University,DNE
Drexel University,301-400
Rochester Institute of Technology,DNE
